,Attribute,Label,Description,Required,Valid Values,Component
Survival Outcome,Survival Outcome,SurvivalOutcome,Text term that describes the last known status of an individual.,False,"['Distant met recurrence/progression', 'unknown tumor status', 'Tumor free', 'Deceased', 'With tumor', 'Loco-regional recurrence/progression', 'Not Applicable', 'Not Reported', 'Not Allowed To Collect', 'Biochemical evidence of disease without structural correlate', '']",Biospecimen
Tumor Grade,Tumor Grade,TumorGrade,"Numeric value to express the degree of abnormality of cancer cells, a measure of differentiation and aggressiveness.",False,"['G2', 'G4', 'unknown', 'G1', 'Intermediate Grade', 'G3', 'Not Applicable', 'High Grade', 'GB', 'Not Reported', 'GX', 'Low Grade', '']",Biospecimen
Biospecimen Tumor Type,Biospecimen Tumor Type,BiospecimenTumorType,"The type of tumor associated with the specimen. Multiple values permitted, comma separated.",False,"['Non-Functioning Pituitary Gland Adenoma', 'Soft Tissue Sarcoma', 'Myeloproliferative Neoplasm', 'Ewing Sarcoma', 'High Grade Ovarian Serous Adenocarcinoma', 'Histiocytic Sarcoma', 'Central Nervous System Neoplasm', 'Myeloid Leukemia', 'Uveal Neoplasm', 'Atypical Teratoid/Rhabdoid Tumor', 'T-Cell Lymphoma', 'Meningioma', 'Sinonasal Squamous Cell Carcinoma', 'Leiomyoma', 'Cerebellar Neoplasm', 'Neurofibroma', 'Cervical Small Cell Carcinoma', 'Castration-Resistant Prostate Carcinoma', 'Pan-cancer', 'Medulloblastoma', 'Rhabdomyosarcoma', 'Pituitary Gland Adenoma', 'Pancreatic Adenocarcinoma', 'Lung Small Cell Carcinoma', 'Schwannoma', 'Combined Hepatocellular Carcinoma and Cholangiocarcinoma', 'Invasive Ductal Breast Carcinoma', 'T Acute Lymphoblastic Leukemia', 'Malignant Skin Neoplasm', 'Acute Myeloid Leukemia', 'Thyroid Gland Anaplastic Carcinoma', 'Lymphoma', 'Breast Adenocarcinoma', 'Colorectal Adenocarcinoma', 'Pending Annotation', 'Leukemia', 'Rosette-Forming Glioneuronal Tumor', 'Dysembryoplastic Neuroepithelial Neoplasm', 'Multiple Myeloma', 'Breast Carcinoma', 'Malignant Ovarian Neoplasm', 'Glioblastoma', 'Skin Carcinoma', 'Skin Neoplasm', 'Pancreatic Neuroendocrine Carcinoma', 'Lung Neoplasm', 'Plasmacytoma', 'Lung Adenocarcinoma', 'Testicular Embryonal Carcinoma', 'Non-Hodgkin Lymphoma', 'Biliary Tract Carcinoma', 'Acute Monocytic Leukemia', 'Follicular Lymphoma', 'Precursor B-cell lymphoblastic leukemia', 'Not Applicable', 'Urothelial Carcinoma', 'Ovarian Neoplasm', 'Primary Myelofibrosis', 'Synovial Sarcoma', 'Neuroendocrine Neoplasm', 'Uterine Adenosarcoma', 'Plexiform Neurofibroma', 'Head and Neck Carcinoma', 'Cervical Neoplasm', 'Bone Neoplasm', 'Chronic Myeloid Leukemia', 'Liver and Intrahepatic Bile Duct Carcinoma', 'Intrahepatic Cholangiocarcinoma', 'Choriocarcinoma', 'Central Nervous System Cavernous Hemangioma', 'B-Cell Non-Hodgkin Lymphoma', 'Primary Central Nervous System Lymphoma', 'Prostate Carcinoma', 'Breast Neoplasm', 'Fibrosarcoma', 'Cholangiocarcinoma', 'Mesothelioma', 'Hodgkin Lymphoma', 'Renal Cell Carcinoma', 'Gastric Neoplasm', 'Triple-Negative Breast Carcinoma', 'Intestinal Neoplasm', 'Colorectal Carcinoma', 'Lung Squamous Cell Carcinoma', 'Malignant Peripheral Nerve Sheath Tumor', 'Pancreatic Carcinoma', 'Uveal Melanoma', 'Gastrointestinal Stromal Neoplasm', 'Cutaneous Melanoma', 'Head and Neck Squamous Cell Carcinoma', 'Barrett Esophagus', 'Ovarian Adenosarcoma', 'Angiosarcoma', 'Malignant Digestive System Neoplasm', 'Acinar Cell Carcinoma', 'B Acute Lymphoblastic Leukemia', 'Craniopharyngioma', 'Gallbladder Carcinoma', 'Pheochromocytoma', 'Malignant Peritoneal Neoplasm', 'Sarcoma', 'Serous Tubal Intraepithelial Carcinoma', 'Chronic Lymphocytic Leukemia', 'Cutaneous T Cell Lymphoma', 'Acute Lymphoblastic Leukemia', 'Esophageal Adenocarcinoma', 'Colorectal Neoplasm', 'Fibroepithelial Polyp', 'Glioma', 'Esophageal Squamous Cell Carcinoma', 'Carcinoma In Situ', 'Low Grade Glioma', 'Myoepithelioma', 'Malignant Glioma', 'Malignant Neoplasm', 'Esophageal Carcinoma', 'Retinoblastoma', 'Chondroblastoma', 'Plasmablastic Lymphoma', 'Hepatocellular Carcinoma', 'Cervical Carcinoma', 'Rectal Adenocarcinoma', 'Colorectal Adenoma', 'Bladder Neoplasm', 'Gastric Carcinoma', 'Pancreatic Ductal Adenocarcinoma', 'Plexiform Schwannoma', 'Luminal A Breast Carcinoma', 'Ductal Breast Carcinoma In Situ', 'Mantle Cell Lymphoma', 'Thyroid Gland Noninvasive Follicular Neoplasm with Papillary-Like Nuclear Features', 'Giant Cell Tumor', 'Basal Cell Neoplasm', 'Kaposi Sarcoma', 'Bladder Carcinoma', 'Teratoma', 'Carcinoma', 'Cellular Schwannoma', 'Ovarian Carcinoma', 'Endometrial Neoplasm', 'Prostate Adenocarcinoma', 'Astrocytoma', 'Oral Cavity Squamous Cell Carcinoma', 'Malignant Genitourinary System Neoplasm', 'Ovarian Serous Adenocarcinoma', 'Penile Carcinoma', 'Gastroesophageal Adenocarcinoma', 'Squamous Cell Carcinoma', 'Liver and Intrahepatic Bile Duct Neoplasm', 'Thyroid Gland Carcinoma', 'Lymphoid Leukemia', 'Extraventricular Neurocytoma', 'Neuroblastoma', 'Lung Non-Small Cell Carcinoma', 'Diffuse Large B-Cell Lymphoma', 'Nasopharyngeal Carcinoma', 'Myeloid Neoplasm', 'Acute Promyelocytic Leukemia', 'Clear Cell Renal Cell Carcinoma', 'Oral Cavity Neoplasm', 'Lung Carcinoma', 'Osteosarcoma', 'Colon Carcinoma', 'Malignant Brain Neoplasm', 'Adenocarcinoma', 'Brain Neoplasm', 'Prostate Neoplasm', 'Ependymoma', 'Fibrolamellar Carcinoma', 'Pilocytic Astrocytoma', 'Mycosis Fungoides', 'Colon Adenocarcinoma', 'Vascular Neoplasm', 'Basal-Like Breast Carcinoma', 'Gastroesophageal Junction Adenocarcinoma', 'Endometrial Carcinoma', 'Malignant Pancreatic Neoplasm', 'Oropharyngeal Neoplasm', 'Salivary Gland Adenoid Cystic Carcinoma', 'Melanoma', 'Head and Neck Neoplasm', 'Not-Applicable', 'Pancreatic Neoplasm', 'Marginal Zone Lymphoma', 'Gastric Adenocarcinoma', 'Neuroepithelial Neoplasm', '']",Biospecimen
Health Care Site,Health Care Site,HealthCareSite,The health care site at which the biospecimen sample was collected.,False,,Biospecimen
Biospecimen_id,Biospecimen_id,BiospecimenId,"Unique row identifier, used as a primary key for record updates",True,,Biospecimen
Component,Component,Component,"Category of metadata (e.g. Tools, Publications, etc.); provide the same one for all items/rows.",True,,Biospecimen
Biospecimen Species,Biospecimen Species,BiospecimenSpecies,The species from which the biospecimen originates,True,"['Human', 'Chicken', 'Yeast', 'Trichoplax adhaerens', 'Boar', 'Rhesus monkey', 'Rat', 'Armadillo', 'African Bush Elephant', 'unknown', 'Escherichia coli', 'Cow', 'Dog', 'Multispecies', 'Cat', 'Asian Elephant', 'Opossum', 'Horse', 'Fruit Fly', 'Rabbit', 'Guinea Pig', 'Zebrafish', 'Worm', 'Sheep', 'Mouse', 'Unspecified']",Biospecimen
Age at Sample Collection,Age at Sample Collection,AgeatSampleCollection,"Age at the time the biospecimen was collected, expressed in number of years since birth.",False,,Biospecimen
Tumor Subtype,Tumor Subtype,TumorSubtype,"The subtype related to the scientific determination and investigation, analysis and recognition of the presence and nature of disease, condition, or injury from expressed signs and symptoms of tissue growth resulting from uncontrolled cell proliferation.",False,"['LumB', 'TNBC', 'LumA', 'Not Applicable', 'HER2', '']",Biospecimen
Known Metastasis Sites,Known Metastasis Sites,KnownMetastasisSites,The text term(s) used to describe the anatomic site(s) of metastasis associated with the patient's malignant disease.,False,,Biospecimen
